"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 23 07:18:02 GMT 2022","Thu Jun 23 07:18:02 GMT 2022","138","","Получаем информацию о породах котов","","Получаем информацию о породах котов","Получить описание породы кота по названию породы get /breeds/search 200","Получить описание породы кота по названию породы get /breeds/search 200",""
"passed","Thu Jun 23 07:18:02 GMT 2022","Thu Jun 23 07:18:02 GMT 2022","209","","Получаем информацию о породах котов","","Получаем информацию о породах котов","Получить список пород котов get /breeds 200","Получить список пород котов get /breeds 200",""
"passed","Thu Jun 23 07:18:02 GMT 2022","Thu Jun 23 07:18:02 GMT 2022","80","","Получаем информацию о породах котов","","Получаем информацию о породах котов","Получить список всех категорий get /categories 200","Получить список всех категорий get /categories 200",""
