"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 13:31:43 GMT 2022","Sun Jun 26 13:31:43 GMT 2022","128","","Получаем информацию о породах котов","","Получаем информацию о породах котов","Получить описание породы кота по названию породы get /breeds/search 200","Получить описание породы кота по названию породы get /breeds/search 200",""
"passed","Sun Jun 26 13:31:43 GMT 2022","Sun Jun 26 13:31:43 GMT 2022","196","","Получаем информацию о породах котов","","Получаем информацию о породах котов","Получить список пород котов get /breeds 200","Получить список пород котов get /breeds 200",""
"passed","Sun Jun 26 13:31:43 GMT 2022","Sun Jun 26 13:31:43 GMT 2022","62","","Получаем информацию о породах котов","","Получаем информацию о породах котов","Получить список всех категорий get /categories 200","Получить список всех категорий get /categories 200",""
